,Time,Title,Authors
0,9:15 AM – 9:30 AM,OliVe: Accelerating Large Language Models via Hardware-friendly Outlier-Victim Pair Quantization,"Cong Guo, Jiaming Tang, Weiming Hu, Jingwen Leng, Chen Zhang, Fan Yang, Yunxin Liu, Minyi Guo, Yuhao Zhu"
1,9:30 AM – 9:45 AM,FACT: FFN-Attention Co-optimized Transformer Architecture with Eager Correlation Prediction,"Yubin Qin, Yang Wang, Dazheng Deng, Zhiren Zhao, Xiaolong Yang, Leibo Liu, Shaojun Wei, Yang Hu, Shouyi Yin"
2,9:45 AM – 10:00 AM,Mystique: Enabling Accurate and Scalable Generation of Production AI Benchmarks,"Mingyu Liang, Wenyin Fu, Louis Feng, Zhongyi Lin, Pavani Panakanti, Shengbao Zheng, Srinivas Sridharan, Christina Delimitrou"
3,10:00 AM – 10:15 AM,Accelerating Personalized Recommendation with Cross-level Near-Memory Processing,"Haifeng Liu, Long Zheng, Yu Huang, Chaoqiang Liu, Xiangyu Ye, Jingrui Yuan, Xiaofei Liao, Hai Jin, Jingling Xue"
4,10:15 AM – 10:30 AM,Understanding and Mitigating Hardware Failures in Deep Learning Training Systems,"Yi He, Mike Hutton, Steven Chan, Robert de Gruijl, Rama Govindaraju, Nishant Patil, Yanjing Li"
5,10:30 AM – 10:45 AM,LAORAM: A Look Ahead ORAM Architecture for Training Large Embedding Tables,"Rachit Rajat, Yongqin Wang, Murali Annavaram"
6,10:45 AM – 11:00 AM,Optimizing CPU Performance for Recommendation Systems At-Scale,"Rishabh Jain, Scott Cheng, Vishwas Kalagi, Vrushabh Sanghavi, Samvit Kaul, Meena Arunachalam, Kiwan Maeng, Adwait Jog, Anand Sivasubramaniam, Mahmut Taylan Kandemir, Chita Das"
7,9:15 AM – 9:30 AM,Orinoco: Ordered Issue and Unordered Commit with Non-Collapsible Queues,"Dibei Chen, Tairan Zhang, Yi Huang, Jianfeng Zhu, Yang Liu, Pengfei Gou, Chunyang Feng, Binghua Li, Shaojun Wei, Leibo Liu"
8,9:30 AM – 9:45 AM,SPADE: A Flexible and Scalable Accelerator for SpMM and SDDMM,"Gerasimos Gerogiannis, Serif Yesil, Damitha Lenadora, Dingyuan Cao, Charith Mendis, Josep Torrellas"
9,9:45 AM – 10:00 AM,DynAMO: Improving Parallelism Through Dynamic Placement of Atomic Memory Operations,"Víctor Soria-Pardos, Adrià Armejach, Darío Suárez-Gracia, Tiago Mück, José A. Joao, Alejandro Rico, Miquel Moretó"
10,10:00 AM – 10:15 AM,μManycore: A Cloud-Native CPU for Tail at Scale,"Jovan Stojkovic, Chunao Liu, Muhammad Shahbaz, Josep Torrellas"
11,10:15 AM – 10:30 AM,MESA: Microarchitecture Extensions for Spatial Architecture Generation,"Dong Kai Wang, Jiaqi Lou, Naiyin Jin, Edwin Mascarenhas, Rohan Mahapatra, Sean Kinzer, Soroush Ghodrati, Amir Yazdanbakhsh, Hadi Esmaeilzadeh, Nam Sung Kim"
12,10:30 AM – 10:45 AM,Imprecise Store Exceptions,"Siddharth Gupta, Yuanlong Li, Qingxuan Kang, Abhishek Bhattacharjee, Babak Falsafi, Yunho Oh, Mathias Payer"
13,10:45 AM – 11:00 AM,Supply Chain Aware Computer Architecture,"August Ning, Georgios Tziantzioulis, David Wentzlaff"
14,9:15 AM – 9:30 AM,ISA-Grid: Architecture of Fine-grained Privilege Control for Instructions and Registers,"Shulin Fan, Zhichao Hua, Yubin Xia, Haibo Chen, Binyu Zang"
15,9:30 AM – 9:45 AM,TEESec: Pre-Silicon Vulnerability Discovery for Trusted Execution Environments,"Moein Ghaniyoun, Kristin Barber, Yuan Xiao, Yinqian Zhang, Radu Teodorescu"
16,9:45 AM – 10:00 AM,Metior: A Comprehensive Model to Evaluate Obfuscating Side-Channel Defense Schemes,"Peter W. Deutsch, Weon Taek Na, Thomas Bourgeat, Joel S. Emer, Mengjia Yan"
17,10:00 AM – 10:15 AM,Spy in the GPU-box: Covert and Side Channel Attacks on Multi-GPU Systems,"Sankha Baran Dutta, Hoda Naghibijouybari, Arjun Gupta, Nael Abu-Ghazaleh, Andres Marquez, Kevin Barker"
18,10:15 AM – 10:30 AM,"Doppelganger Loads: A Safe, Complexity-Effective Optimization for Secure Speculation Schemes","Amund Bergland Kvalsvik, Pavlos Aimoniotis, Stefanos Kaxiras, Magnus Själander"
19,10:30 AM – 10:45 AM,Pensieve: Microarchitectural Modeling for Security Evaluation,"Yuheng Yang, Thomas Bourgeat, Stella Lau, Mengjia Yan"
